successfully_sent,repeated_packets,undetected_errors
9,41,0
6,43,1
8,42,0
7,42,1
15,34,1
9,41,0
9,41,0
10,39,1
10,39,1
7,41,2
17,32,1
7,41,2
10,40,0
13,35,2
8,39,3
13,36,1
8,41,1
9,40,1
9,38,3
8,41,1
10,39,1
7,43,0
10,38,2
7,43,0
10,39,1
9,41,0
6,44,0
11,39,0
13,36,1
15,35,0
10,37,3
12,37,1
10,38,2
10,39,1
12,37,1
12,36,2
7,42,1
12,36,2
7,41,2
12,37,1
6,41,3
6,43,1
12,36,2
11,38,1
10,40,0
11,37,2
10,38,2
8,42,0
9,37,4
7,43,0
11,39,0
9,39,2
14,34,2
8,41,1
8,42,0
14,35,1
10,38,2
10,39,1
9,41,0
11,39,0
11,36,3
8,42,0
14,34,2
6,42,2
9,40,1
16,33,1
12,38,0
9,40,1
7,41,2
7,41,2
7,42,1
9,38,3
11,37,2
16,34,0
15,34,1
9,41,0
14,35,1
14,34,2
15,33,2
7,42,1
11,39,0
10,38,2
10,39,1
13,37,0
9,38,3
11,39,0
11,38,1
9,38,3
6,43,1
13,36,1
7,42,1
9,41,0
9,40,1
8,39,3
9,39,2
13,36,1
13,37,0
3,45,2
10,40,0
11,35,4
